district_code,year,bus_replace,attendance,gifted,white,college,advtgd,fleet_size,pupils_trans,enrollment
4770508,2009,0,92.59841918945313,63,518,167,345,6,197.4,1011
4770508,2010,0,93.12364196777344,40,462,171,291,6,240.2,1011
4770516,2010,0,87.796875,0,352,108,246,6,163,704
4770516,2009,0,92.36338043212891,15,408,129,321,6,252,721
4770516,2011,1.661681652069092,93.63285827636719,0,379,97,269,6,206,700
4770516,2012,5.272407531738281,95.15396118164063,0,397,83,291,6,214,695
4773684,2009,0,91.83792114257813,45,126,25,70,4,206.5,327
4773684,2011,1.661681652069092,91.38532257080078,34,142,9,81,5,262.1,327
4773684,2012,5.272407531738281,93.04049682617188,22,132,13,132,5,289.8,321
4776455,2010,0,93.64804840087891,0,381,101,250,6,322.1,716
4776455,2011,1.661681652069092,94.58689880371094,0,367,99,242,5,270,702
4776455,2012,5.272407531738281,97.28125,0,357,98,219,5,222.5,672
4970599,2010,0,96.3671875,7,61,10,65,1,44,128
4970599,2009,0,96.96295928955078,11,59,11,62,1,44,135
4970656,2012,10.4739465713501,96.4730224609375,44,450,123,374,3,19,1427
4970698,2010,0,82.06666564941406,5,23,4,24,2,25,45
4970763,2010,0,69.84782409667969,0,18,1,10,2,29,92
4970763,2009,0,90.45652008056641,4,26,1,15,2,55,92
4970763,2011,5.076141834259033,87.09999847412109,7,16,2,8,2,33.6,70
4970763,2012,10.4739465713501,97.66666412353516,0,13,1,3,1,35,57
4970813,2010,0,92.15789031982422,7,55,0,18,2,54,95
4970813,2009,0,98.19587707519531,15,62,1,30,2,64,97
4970813,2012,10.4739465713501,96.41025543212891,2,53,1,20,3,49,78
4971001,2010,0,92.33333587646484,0,0,27,88,1,15,171
4971001,2011,5.076141834259033,94.18856811523438,0,97,35,92,1,11,175
4975390,2009,0,93.68013000488281,80,645,249,784,5,345,2154
4975390,2011,5.076141834259033,96.35916900634766,49,515,224,582,5,323,1974
5271472,2010,0,89.23041534423828,45,348,161,244,3,223,651
5271472,2012,4.907252788543701,97.13322448730469,0,336,154,220,2,219.4,623
5271498,2011,0,93.60527801513672,49,548,85,231,11,1100,1933
5271498,2009,0,94.49563598632813,0,611,82,260,11,1100,1947
5271514,2009,0,102.6666641235352,1,6,0,3,0,1,9
5271522,2011,0,90.69503021240234,0,625,109,352,6,545,987
5271522,2010,0,95.58835601806641,0,633,99,370,7,647,962
5271548,2011,0,93.44168853759766,0,99,11,34,4,335.6,403
5271548,2012,4.907252788543701,98.82945251464844,0,93,0,54,4,316.6,387
5271555,2010,0,92.53488922119141,0,45,17,30,0,0,86
5271555,2009,0,98.64102935791016,0,48,11,36,0,0,78
5271563,2009,0,94.03086853027344,39,172,52,107,2,168.9,324
5271563,2010,0,92.45062255859375,36,181,63,111,2,159.4,324
5271563,2011,0,93.4588623046875,24,180,65,107,2,139.6,316
5271563,2012,4.907252788543701,96.83831787109375,0,185,59,109,2,137.9,334
5271571,2011,0,97.82270050048828,22,238,31,104,3,298,564
5271589,2011,0,94.71794891357422,0,14,5,12,1,24,39
5271589,2010,0,72.34146881103516,0,12,1,6,1,14,41
5271589,2009,0,94.09755706787109,0,23,2,15,1,15,41
5271589,2012,4.907252788543701,101.3947372436523,0,22,1,11,1,25,38
5271605,2009,0,4.401515007019043,1,75,19,4,0,0,132
5271613,2009,0,97.34999847412109,17,14,0,5,2,19,20
5271621,2010,0,89.98195648193359,62,991,208,443,16,678,2217
5271621,2011,0,93.22035980224609,45,1015,201,424,16,439,2210
5271621,2009,0,97.00855255126953,75,1095,230,544,16,678,2221
5271639,2010,0,87.43995666503906,0,913,265,657,16,487,1907
5271639,2011,0,88.06262969970703,0,903,14,668,16,446,1900
5271639,2009,0,93.13005065917969,1,883,271,780,16,521,1907
5271647,2009,0,83.69091033935547,0,89,8,50,1,53.4,165
5271647,2010,0,99.25352478027344,0,95,11,42,1,58.6,142
5271647,2012,4.907252788543701,96.86231994628906,0,88,14,48,2,53,138
5271654,2010,0,100,29,120,27,90,1,84,242
5271654,2011,0,96.95161437988281,12,120,25,84,2,84,248
5371662,2009,0,94.64948272705078,0,59,13,0,1,82,97
5371662,2011,2.667970895767212,91.39175415039063,5,43,7,32,1,72,97
5371662,2012,6.694080352783203,103.1428604125977,3,36,8,29,1,78,84
5371670,2010,0,84,0,7,2,2,0,0,13
5371688,2009,0,86.22222137451172,0,5,1,2,1,12.5,9
5371688,2010,0,102.25,0,4,2,5,2,15,12
5371688,2011,2.667970895767212,104.4999923706055,0,6,2,3,1,56,12
5371688,2012,6.694080352783203,100.6666717529297,0,5,0,4,1,15,12
5371696,2009,0,88.74809265136719,17,85,13,35,2,73,131
5371696,2010,0,99.46491241455078,17,75,17,30,2,71.7,114
5371696,2012,6.694080352783203,100.9542007446289,15,83,20,40,2,75,131
5371738,2009,0,98.11111450195313,2,52,0,27,0,0,81
5371738,2011,2.667970895767212,98.74073791503906,0,54,1,22,0,0,81
5371738,2012,6.694080352783203,98.30681610107422,0,52,0,19,0,0,88
5371746,2011,2.667970895767212,87.20967864990234,0,27,4,7,2,54,62
5371761,2012,6.694080352783203,90.58823394775391,3,4,2,7,0,0,17
5373833,2010,0,95.90598297119141,8,81,0,18,7,121,117
5373833,2009,0,92.41481781005859,11,92,3,25,6,102,135
5373833,2011,2.667970895767212,88.87705230712891,7,67,0,13,8,79,122
5375028,2009,0,92.4630126953125,26,198,17,56,5,230,365
5375028,2010,0,91.09577178955078,38,180,13,55,4,221,355
5375028,2012,6.694080352783203,92.875,27,139,11,41,4,207,336
5376513,2010,0,86.76045227050781,24,439,79,332,6,415,789
5376513,2011,2.667970895767212,92.61664581298828,45,440,87,284,4.5,548,793
5376513,2012,6.694080352783203,93.75871276855469,3,427,76,269,4.5,480,775
5572306,2011,3.057636260986328,92.90677642822266,7,68,16,68,3,117,118
5572306,2010,3.445899486541748,91.70732116699219,11,66,12,33,2,105,123
5572306,2012,12.92824840545654,99.01960754394531,5,60,15,31,3,114,102
5572348,2011,3.057636260986328,93.34442138671875,11,366,72,265,7,238,601
5572348,2012,12.92824840545654,97.71842956542969,8,355,64,200,7,227,586
5572355,2009,0,92.48064422607422,0,344,85,240,6,318,620
5572355,2012,12.92824840545654,96.37863922119141,60,290,48,178,7,300,515
5572363,2011,3.057636260986328,55.55007553100586,12,345,62,201,4,123,669
5572363,2010,3.445899486541748,64.04679870605469,18,233,58,198,5,127.7,641
5572363,2012,12.92824840545654,54.07898712158203,10,338,75,221,5,118,671
5572371,2011,3.057636260986328,94.08426666259766,54,367,105,271,6,244,712
5572371,2012,12.92824840545654,94.60293579101563,78,336,99,259,4,260,680
5572389,2009,0,87.09066009521484,26,870,146,717,10,379,1489
5572389,2010,3.445899486541748,89.23423004150391,29,793,163,653,9,364,1379
5572389,2012,12.92824840545654,92.05175018310547,63,695,166,494,9,301,1256
5572397,2009,0,94.39691925048828,67,339,73,255,4,206,519
5572397,2011,3.057636260986328,94.54962158203125,0,3,77,229,4,181.5,524
5572397,2012,12.92824840545654,98.10934448242188,0,10,78,207,4,176.6,503
5572413,2009,0,51.46365737915039,7,586,181,528,10,234,908
5572413,2011,3.057636260986328,48.66427230834961,0,607,194,547,5,229,974
5572413,2012,12.92824840545654,54.12814712524414,0,661,168,460,5,215,874
5572421,2009,0,91.64170837402344,19,278,49,189,7,132,374
5572421,2011,3.057636260986328,93.94801330566406,6,216,60,133,7,128,327
5572421,2010,3.445899486541748,90.38623046875,10,224,58,143,7,113,334
5572421,2012,12.92824840545654,108.2939071655273,1,201,45,107,7,125,279
5575184,2011,3.057636260986328,78.16404724121094,20,206,36,138,4,171,445
5575184,2012,12.92824840545654,99.00270080566406,15,207,32,129,4,163,370
