district_code,year,bus_replace,attendance,gifted,white,college,advtgd,fleet_size,pupils_trans,enrollment
1262687,2011,2.667970895767212,86.89783477783203,11,726,172,933,9,371,1615
1262687,2012,6.694080352783203,82.98304748535156,13,774,297,882,9,420,1711
1262695,2010,0,93.07407379150391,2,39,2,9,2,36,54
1262695,2011,2.667970895767212,107.3255767822266,5,33,7,11,2,37,43
1262703,2011,2.667970895767212,90.77777862548828,16,87,37,52,1,31.3,162
1262703,2012,6.694080352783203,99.23529052734375,15,8,32,56,1,33.1,136
1262729,2011,2.667970895767212,92.38889312744141,9,20,2,0,2,30.4,36
1262729,2012,6.694080352783203,96.27499389648438,8,20,1,0,2,35.1,40
1262737,2010,0,97.29059600830078,7,78,9,44,1,51,117
1262737,2009,0,102.5163879394531,10,91,6,53,1,68,122
1262745,2009,0,94.07790374755859,37,271,60,238,3,130,552
1262745,2011,2.667970895767212,95.51158905029297,37,231,79,222,3,126.3,561
1262745,2012,6.694080352783203,97.50180053710938,39,235,90,214,3,130,556
1262810,2009,0,90.13276672363281,0,590,165,727,9,328,1175
1262810,2010,0,91.88859558105469,0,557,83,665,9,353,1131
1262810,2011,2.667970895767212,96.68247985839844,0,590,114,696,6,355,1096
1262810,2012,6.694080352783203,95.50173950195313,0,570,134,626,6,310,1150
1262828,2010,0,94.625,24,205,58,168,3,64.5,320
1262828,2009,0,96.44984436035156,27,218,55,178,3,65,329
1262828,2012,6.694080352783203,82.89877319335938,1,202,60,178,3,80.5,326
1262851,2009,0,84.41175842285156,2,6,0,5,1,14.8,17
1262851,2011,2.667970895767212,96.28571319580078,3,7,1,4,1,7.3,7
1262851,2012,6.694080352783203,84.55555725097656,0,3,1,2,1,8.9,9
1262885,2010,0,95.26451873779297,28,96,31,67,1,40,155
1262885,2009,0,95.90131378173828,19,111,32,73,1,65,152
1262885,2011,2.667970895767212,99.75483703613281,25,92,31,73,1,34,155
1262893,2010,0,97.21697998046875,35,220,43,278,2,45,424
1262893,2011,2.667970895767212,97.89749908447266,28,233,61,288,2,48.2,439
1262901,2009,0,87.93453216552734,63,96,86,198,19,631,1054
1262901,2010,0,90.19351959228516,2,89,74,464,19,566,1018
1262901,2012,6.694080352783203,91.1495361328125,0,72,74,73,19,624,1070
1262919,2010,0,86.05128479003906,1,21,15,14,2,29,39
1262919,2009,0,104.2799987792969,2,22,10,15,2,29,25
1262919,2011,2.667970895767212,95.17646789550781,1,15,7,13,2,18,34
1262919,2012,6.694080352783203,103.4000091552734,0,20,17,14,1,22.7,30
1262927,2010,0,34.49006652832031,0,131,19,80,1,22.4,302
1262935,2010,0,75.36363220214844,4,4,2,2,1,4.2,11
1262935,2011,2.667970895767212,92.29999542236328,3,8,5,2,1,5.1,10
1262935,2012,6.694080352783203,101.3571395874023,2,7,3,0,1,10.3,14
